#class tools::wcsv::ntuple
#title Deposited energy
#separator 44
#vector_separator 59
#column double Generated
#column double Layer1
#column double Layer2
#column double Layer3
#column double Layer4
#column double Layer5
100,4.72045,4.02212,1.55126,15.3925,0
300,114.715,19.4007,20.5532,3.09795,0
500,241.028,71.899,6.85454,10.3598,2.84049
700,111.271,302.894,10.9309,19.5452,0.993462
900,451.045,120.626,26.8545,16.0141,0
1100,338.355,175.08,81.7477,18.609,55.26
1300,390.875,224.231,150.106,54.3068,20.4414
1500,246.597,317.677,254.021,72.1002,31.3887
1700,467.475,236.432,166.79,246.62,17.5345
1900,340.799,472.329,215.856,106.782,50.3918
100,28.2781,26.078,0.726016,0,0
300,94.435,28.7302,9.38206,9.41864,0
500,105.418,63.1546,99.7124,30.6994,12.1584
700,295.329,135.002,38.6307,6.26862,0
900,187.128,186.26,70.8159,62.4872,29.8564
1100,419.193,209.343,39.4406,19.0422,0
1300,430.419,250.546,53.9727,21.643,1.843
1500,435.477,401.274,77.7938,32.0114,7.39278
1700,238.393,580.285,192.671,55.4491,15.574
1900,372.634,496.613,240.12,53.1096,22.3595
100,57.9596,2.10234,2.76057,0,0
300,123.689,29.2157,4.13672,0.11006,0.514234
500,234.442,61.4132,43.8818,18.0444,0.462417
700,249.321,87.0881,25.5902,11.5774,1.27506
900,407.65,148.327,18.1643,0.202781,3.86337
1100,249.316,326.912,97.021,24.281,13.3389
1300,314.204,283.937,178.918,39.5824,2.79587
1500,439.509,319.557,64.2738,34.1849,5.74858
1700,556.655,263.054,185.31,13.6475,13.7086
1900,217.902,319.473,312.139,138.317,25.2139
100,28.0879,14.1608,0.0891266,0,0
300,105.164,55.5978,28.6377,3.13238,2.85445
500,223.3,74.5069,18.2545,0,2.15942
700,286.32,116.917,15.1064,12.2839,0
900,225.822,156.289,75.1507,22.3099,12.6518
1100,281.531,371.427,100.825,17.9124,1.63193
1300,346.407,210.814,162.652,27.9621,3.52794
1500,274.831,332.906,185.473,57.0032,3.85571
1700,262.078,512.476,123.435,78.0746,5.56184
1900,412.597,508.392,184.374,86.6061,4.68034
100,37.1186,0,0,0,0
300,139.942,29.5702,15.5516,12.1388,0
500,244.21,65.8564,13.2007,7.28649,0
700,225.152,150.153,19.78,6.70171,19.4179
900,154.366,139.13,122.822,43.1489,1.9642
1100,283.402,190.01,64.9376,39.4097,0
1300,217.458,288.582,178.503,53.0173,37.3277
1500,433.744,231.168,74.1704,47.2594,29.4142
1700,436.025,312.969,151.3,14.0199,50.901
1900,457.032,426.383,138.784,98.1608,40.0906
100,36.5599,10.3748,1.69482,1.75077,0
300,148.353,23.4334,3.09323,10.9638,0
500,240.117,61.1673,3.86849,0,0
700,181.219,156.424,32.4697,43.3743,9.52845
900,264.215,218.23,32.6743,6.30991,0.550446
1100,164.294,363.919,72.667,41.4412,13.9065
1300,262.245,291.592,246.179,42.7342,6.58858
1500,646.477,235.883,82.5547,17.2069,1.52577
1700,319.722,432.255,152.755,125.173,8.27994
1900,371.217,572.891,175.666,40.5385,16.0367
100,48.4433,6.58601,0.186006,0,0
300,139.217,17.7955,9.66892,1.16756,22.9897
500,52.4218,167.026,50.3728,14.5622,2.4866
700,392.248,79.7646,29.5996,0.269867,0
900,80.2666,173.964,155.629,45.296,24.2814
1100,188.953,303.656,112.643,20.6363,65.9522
1300,327.18,272.661,128.09,48.7521,11.1491
1500,345.992,318.203,129.737,72.8839,5.2879
1700,575.655,354.668,66.8111,38.4075,24.4501
1900,293.549,606.253,202.893,72.2061,6.2192
100,31.3227,17.9365,0,0,0
300,192.489,11.6701,0.510999,1.82794,0
500,70.4707,85.3225,72.1997,19.6074,0
700,204.994,133.306,110.419,18.8975,2.55929
900,160.072,191.874,110.868,10.9611,5.20439
1100,298.622,312.85,59.0307,9.32405,0.797912
1300,69.4617,386.095,154.365,42.3101,62.6316
1500,175.898,152.572,281.093,161.196,92.8408
1700,463.047,415.054,177.804,30.2391,2.01106
1900,185.65,600.115,317.717,63.3363,36.6987
100,36.7842,4.40438,0.478174,0,0
300,38.8243,86.5578,31.8829,1.70789,2.39496
500,196.733,82.1741,14.1045,0,0
700,347.659,61.8334,16.9854,12.85,0.851734
900,247.913,179.314,54.5109,25.2273,25.2893
1100,248.102,265.241,62.9667,20.6331,10.9882
1300,505.701,235.348,94.536,48.1353,47.3007
1500,265.412,360.237,124.232,29.6543,18.2599
1700,253.75,304.954,201.944,178.054,98.6599
1900,631.896,357.644,146.09,40.5489,0.948523
100,66.2283,10.0323,2.06589,0,0
300,87.5973,49.1399,27.598,0,0.580155
500,135.08,104.585,11.0212,4.10261,0
700,239.099,121.542,56.5906,2.60014,0
900,151.942,278.356,105.321,57.248,9.39759
1100,387.741,136.877,97.6483,79.0793,8.67052
1300,289.764,403.838,90.5995,10.1592,36.759
1500,370.975,366.216,172.904,39.0174,0.839564
1700,477.662,532.693,94.3613,44.4158,5.87825
1900,240.637,462.206,256.556,65.5418,19.8259
100,21.1815,3.17516,20.2334,0.767644,0
300,178.935,14.7034,0,0,16.0652
500,80.6977,105.894,44.5077,91.0161,32.8689
700,251.404,112.98,11.8965,19.1384,8.7607
900,201.027,96.5274,99.2963,33.3087,0.182768
1100,411.795,246.777,11.9053,5.86825,4.12889
1300,502.182,161.27,51.5349,29.3873,0
1500,309.267,477.478,122.572,49.4948,9.78165
